timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/10/01 15:20:50.739, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:50.841, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:50.941, NVIDIA RTX A6000, 4 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.041, NVIDIA RTX A6000, 4 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.141, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.242, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.342, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.442, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.542, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.643, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.743, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.843, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:51.943, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:52.044, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:52.144, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:52.244, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:20:52.344, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
